id,px,py,gx,gy,vx,vy,px,py,gx,gy,vx,vy,px,py,gx,gy,vx,vy,px,py,gx,gy,vx,vy,px,py,gx,gy,vx,vy,px,py,gx,gy,vx,vy,px,py,gx,gy,vx,vy,px,py,gx,gy,vx,vy,px,py,gx,gy,vx,vy,px,py,gx,gy,vx,vy
0.0,4.0782582135896766,2.0752853848433137,-4.0782582135896766,-2.0752853848433137,0.0,0.0,2.8835507841694126,-3.12514812143291,-2.8835507841694126,3.12514812143291,0.0,0.0,2.3946282293360444,2.9464296513637476,-2.3946282293360444,-2.9464296513637476,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,4.012030167565983,-0.5419713613169537,-4.012030167565983,0.5419713613169537,0.0,0.0,0.7775950403141603,-3.6266538892506635,-0.7775950403141603,3.6266538892506635,0.0,0.0,2.7779287341937717,-3.0685528541351763,-2.7779287341937717,3.0685528541351763,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,-3.199133392256581,-3.240427014754701,3.199133392256581,3.240427014754701,0.0,0.0,1.0512549407836507,4.221025858639516,-1.0512549407836507,-4.221025858639516,0.0,0.0,-4.362834312292571,-0.10811015117324618,4.362834312292571,0.10811015117324618,0.0,0.0,-2.51033395455521,2.883729479293061,2.51033395455521,-2.883729479293061,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,3.9767469917594624,-0.5285468355370582,-3.9767469917594624,0.5285468355370582,0.0,0.0,3.149183496706355,3.391736905087563,-3.149183496706355,-3.391736905087563,0.0,0.0,-3.7289515318832356,-1.9238534785646575,3.7289515318832356,1.9238534785646575,0.0,0.0,3.1270991180783123,-1.9744246216090984,-3.1270991180783123,1.9744246216090984,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,-3.557385907871117,-1.3966730147711928,3.557385907871117,1.3966730147711928,0.0,0.0,-2.899718886334945,-1.9128312371532288,2.899718886334945,1.9128312371532288,0.0,0.0,-3.304475175576534,1.8371013112501693,3.304475175576534,-1.8371013112501693,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,3.5535312283176808,1.2448797232372693,-3.5535312283176808,-1.2448797232372693,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,1.7520031151070943,3.406408134778177,-1.7520031151070943,-3.406408134778177,0.0,0.0,-3.144202921869253,-2.150296325655497,3.144202921869253,2.150296325655497,0.0,0.0,2.532034082080737,2.80501670616662,-2.532034082080737,-2.80501670616662,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,-4.460319292315059,0.2522413428796129,4.460319292315059,-0.2522413428796129,0.0,0.0,1.2675854504438977,-4.122742482303258,-1.2675854504438977,4.122742482303258,0.0,0.0,2.2443800717122886,3.17341793009163,-2.2443800717122886,-3.17341793009163,0.0,0.0,-0.921890201415383,-4.316962809060527,0.921890201415383,4.316962809060527,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,1.3333127334068455,-3.3412713474412388,-1.3333127334068455,3.3412713474412388,0.0,0.0,2.753263323176842,3.145650008005381,-2.753263323176842,-3.145650008005381,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,3.3472911448086586,-2.5389534137440806,-3.3472911448086586,2.5389534137440806,0.0,0.0,3.986265963349349,0.5405528934434609,-3.986265963349349,-0.5405528934434609,0.0,0.0,-1.156092260319705,4.339502490462819,1.156092260319705,-4.339502490462819,0.0,0.0,-1.129290164052542,-3.814098624082512,1.129290164052542,3.814098624082512,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
